	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	heuristics	number_of_NPs	semtag	split
2845	学生が歩き回っている男の子を助けた	学生が歩き回っている	non-entailment	subsequence	2	gp-normal	train
2846	若者が歩き回っている男性をたたいている	若者が歩き回っている	non-entailment	subsequence	2	gp-normal	train
2847	会社員が遊んでいる男の子を追いかけている	会社員が遊んでいる	non-entailment	subsequence	2	gp-normal	train
2848	サーファーが横たわっているライダーを蹴った	サーファーが横たわっている	non-entailment	subsequence	2	gp-normal	train
2849	若者が走っている女の子を押した	若者が走っている	non-entailment	subsequence	2	gp-normal	train
2850	若者が笑っているサーファーを押した	若者が笑っている	non-entailment	subsequence	2	gp-normal	train
2851	老人が横たわっている女性をにらんでいる	老人が横たわっている	non-entailment	subsequence	2	gp-normal	test
2852	男の子が横たわっている若者を押した	男の子が横たわっている	non-entailment	subsequence	2	gp-normal	train
2853	サーファーが座っている女の子を追いかけている	サーファーが座っている	non-entailment	subsequence	2	gp-normal	train
2854	男の子が泳いでいるフットボール選手を見ている	男の子が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2855	大人が立っている学生を追い払った	大人が立っている	non-entailment	subsequence	2	gp-normal	train
2856	女性が遊んでいるフットボール選手を追い払った	女性が遊んでいる	non-entailment	subsequence	2	gp-normal	train
2857	老人が立っている子供をいじめている	老人が立っている	non-entailment	subsequence	2	gp-normal	train
2858	子供が泳いでいるテニス選手を見ている	子供が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2859	大人が座っているホッケー選手を指さしている	大人が座っている	non-entailment	subsequence	2	gp-normal	train
2860	サーファーが立っているホッケー選手を追い回した	サーファーが立っている	non-entailment	subsequence	2	gp-normal	train
2861	サーファーが立っている若者を押した	サーファーが立っている	non-entailment	subsequence	2	gp-normal	train
2862	学生が歩き回っている男の子を見つめている	学生が歩き回っている	non-entailment	subsequence	2	gp-normal	train
2863	女の子が走っている男の子を見つめている	女の子が走っている	non-entailment	subsequence	2	gp-normal	train
2864	老人が泳いでいる女の子を助けた	老人が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2865	学生が走っているスノーボーダーを追い回した	学生が走っている	non-entailment	subsequence	2	gp-normal	train
2866	大人が歌を歌っているテニス選手を追い払った	大人が歌を歌っている	non-entailment	subsequence	2	gp-normal	train
2867	スノーボーダーが泳いでいる大人を見つめている	スノーボーダーが泳いでいる	non-entailment	subsequence	2	gp-normal	train
2868	会社員が歌を歌っている女の子を追い払った	会社員が歌を歌っている	non-entailment	subsequence	2	gp-normal	train
2869	大人が座っているテニス選手を蹴った	大人が座っている	non-entailment	subsequence	2	gp-normal	train
2870	テニス選手が泳いでいるホッケー選手を見つめている	テニス選手が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2871	カップルが泳いでいるフットボール選手をいじめている	カップルが泳いでいる	non-entailment	subsequence	2	gp-normal	train
2872	子供が泳いでいるホッケー選手をいじめている	子供が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2873	女の子が横たわっている女性を助けた	女の子が横たわっている	non-entailment	subsequence	2	gp-normal	train
2874	会社員が泳いでいる学生を指さしている	会社員が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2875	女性が歩き回っている男の子を蹴った	女性が歩き回っている	non-entailment	subsequence	2	gp-normal	train
2876	子供が遊んでいる会社員を押した	子供が遊んでいる	non-entailment	subsequence	2	gp-normal	train
2877	スノーボーダーが眠っているライダーを追い払った	スノーボーダーが眠っている	non-entailment	subsequence	2	gp-normal	train
2878	サーファーが立っている学生を追い回した	サーファーが立っている	non-entailment	subsequence	2	gp-normal	test
2879	サーファーが歌を歌っているカップルを見ている	サーファーが歌を歌っている	non-entailment	subsequence	2	gp-normal	train
2880	若者が横たわっているカップルを追い払った	若者が横たわっている	non-entailment	subsequence	2	gp-normal	train
2881	子供が泣いているテニス選手を押した	子供が泣いている	non-entailment	subsequence	2	gp-normal	train
2882	女の子が立っている大人をいじめている	女の子が立っている	non-entailment	subsequence	2	gp-normal	test
2883	男性が歩き回っているフットボール選手をにらんでいる	男性が歩き回っている	non-entailment	subsequence	2	gp-normal	train
2884	ライダーが走っている男性を追いかけている	ライダーが走っている	non-entailment	subsequence	2	gp-normal	train
2885	女性が立っているスノーボーダーを追い払った	女性が立っている	non-entailment	subsequence	2	gp-normal	train
2886	フットボール選手が泳いでいる学生を指さしている	フットボール選手が泳いでいる	non-entailment	subsequence	2	gp-normal	train
2887	会社員が笑っている大人を助けた	会社員が笑っている	non-entailment	subsequence	2	gp-normal	train
2888	会社員が眠っている女の子を見ている	会社員が眠っている	non-entailment	subsequence	2	gp-normal	train
2889	カップルが泣いているホッケー選手を見つめている	カップルが泣いている	non-entailment	subsequence	2	gp-normal	train
2890	フットボール選手が歩いている男の子をいじめている	フットボール選手が歩いている	non-entailment	subsequence	2	gp-normal	train
2891	スノーボーダーが泣いている男性をたたいている	スノーボーダーが泣いている	non-entailment	subsequence	2	gp-normal	train
2892	学生が走っている子供をにらんでいる	学生が走っている	non-entailment	subsequence	2	gp-normal	train
2893	会社員が歩き回っている学生をいじめている	会社員が歩き回っている	non-entailment	subsequence	2	gp-normal	train
2894	ライダーが眠っている子供をにらんでいる	ライダーが眠っている	non-entailment	subsequence	2	gp-normal	train
2895	男性が歩いている女性を見つめている	男性が歩いている	non-entailment	subsequence	2	gp-normal	train
2896	老人が立っているサーファーを追い払った	老人が立っている	non-entailment	subsequence	2	gp-normal	train
2897	サーファーが笑っている老人を蹴った	サーファーが笑っている	non-entailment	subsequence	2	gp-normal	train
2898	若者が立っているサーファーを追い回した	若者が立っている	non-entailment	subsequence	2	gp-normal	train
2899	ホッケー選手が笑っている大人を押した	ホッケー選手が笑っている	non-entailment	subsequence	2	gp-normal	train
2900	女の子が歩き回っている会社員を押した	会社員が歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
2901	フットボール選手が笑っている会社員を追いかけている	会社員が笑っている	entailment	overlap-nonorder	2	gp-normal	train
2902	女の子が泣いている老人を蹴った	老人が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2903	男の子が歩いている男性を見ている	男性が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2904	子供が座っている若者をたたいている	若者が座っている	entailment	overlap-nonorder	2	gp-normal	train
2905	女性が歩いているサーファーを追いかけている	サーファーが歩いている	entailment	overlap-nonorder	2	gp-normal	test
2906	女の子が歩き回っているサーファーをたたいている	サーファーが歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
2907	サーファーが眠っているテニス選手を追い回した	テニス選手が眠っている	entailment	overlap-nonorder	2	gp-normal	train
2908	女の子が歩き回っているサーファーを追い回した	サーファーが歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
2909	サーファーが歌を歌っている老人を助けた	老人が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2910	サーファーが走っている子供を追い回した	子供が走っている	entailment	overlap-nonorder	2	gp-normal	train
2911	学生が座っているスノーボーダーを見つめている	スノーボーダーが座っている	entailment	overlap-nonorder	2	gp-normal	train
2912	大人が立っている女の子を助けた	女の子が立っている	entailment	overlap-nonorder	2	gp-normal	train
2913	若者が泣いている男性を見ている	男性が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2914	カップルが横たわっているサーファーを押した	サーファーが横たわっている	entailment	overlap-nonorder	2	gp-normal	train
2915	会社員が眠っているサーファーをたたいている	サーファーが眠っている	entailment	overlap-nonorder	2	gp-normal	train
2916	スノーボーダーが歩き回っている学生を見ている	学生が歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
2917	子供が立っている男性を追い払った	男性が立っている	entailment	overlap-nonorder	2	gp-normal	train
2918	スノーボーダーが立っているカップルを追い払った	カップルが立っている	entailment	overlap-nonorder	2	gp-normal	train
2919	学生が横たわっているライダーを見ている	ライダーが横たわっている	entailment	overlap-nonorder	2	gp-normal	train
2920	子供が眠っている大人を指さしている	大人が眠っている	entailment	overlap-nonorder	2	gp-normal	train
2921	女性が座っているライダーを追い払った	ライダーが座っている	entailment	overlap-nonorder	2	gp-normal	train
2922	老人が歩き回っている大人をにらんでいる	大人が歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
2923	若者が遊んでいる女性を蹴った	女性が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2924	大人が泣いている若者を助けた	若者が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2925	男の子が走っているスノーボーダーを追い回した	スノーボーダーが走っている	entailment	overlap-nonorder	2	gp-normal	train
2926	スノーボーダーが遊んでいる大人を助けた	大人が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2927	大人が横たわっているライダーを追い回した	ライダーが横たわっている	entailment	overlap-nonorder	2	gp-normal	train
2928	ホッケー選手が走っている女の子を追い払った	女の子が走っている	entailment	overlap-nonorder	2	gp-normal	train
2929	ホッケー選手が横たわっている男性を追いかけている	男性が横たわっている	entailment	overlap-nonorder	2	gp-normal	train
2930	子供が走っているライダーを追いかけている	ライダーが走っている	entailment	overlap-nonorder	2	gp-normal	train
2931	女性が横たわっている老人を押した	老人が横たわっている	entailment	overlap-nonorder	2	gp-normal	test
2932	学生が座っている若者を助けた	若者が座っている	entailment	overlap-nonorder	2	gp-normal	train
2933	若者が泣いている男の子をたたいている	男の子が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2934	フットボール選手が歌を歌っているテニス選手を追い回した	テニス選手が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2935	女の子が歌を歌っている学生をにらんでいる	学生が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2936	スノーボーダーが歌を歌っている男性を追い回した	男性が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2937	子供が横たわっている若者をたたいている	若者が横たわっている	entailment	overlap-nonorder	2	gp-normal	train
2938	子供が泣いているサーファーを追い回した	サーファーが泣いている	entailment	overlap-nonorder	2	gp-normal	train
2939	老人が泳いでいるカップルを追い払った	カップルが泳いでいる	entailment	overlap-nonorder	2	gp-normal	train
2940	女性が歌を歌っている大人を助けた	大人が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2941	スノーボーダーが泣いている大人を追い払った	大人が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2942	若者が笑っている男の子をいじめている	男の子が笑っている	entailment	overlap-nonorder	2	gp-normal	train
2943	男の子が泣いているカップルをにらんでいる	カップルが泣いている	entailment	overlap-nonorder	2	gp-normal	train
2944	大人が歩き回っているスノーボーダーを押した	スノーボーダーが歩き回っている	entailment	overlap-nonorder	2	gp-normal	test
2945	ライダーが遊んでいるテニス選手を追い払った	テニス選手が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2946	男性が笑っている老人を追い払った	老人が笑っている	entailment	overlap-nonorder	2	gp-normal	train
2947	サーファーが笑っている若者を蹴った	若者が笑っている	entailment	overlap-nonorder	2	gp-normal	train
2948	ホッケー選手が歩いているスノーボーダーをたたいている	スノーボーダーが歩いている	entailment	overlap-nonorder	2	gp-normal	train
2949	会社員が眠っている男性を追いかけている	男性が眠っている	entailment	overlap-nonorder	2	gp-normal	train
2950	ホッケー選手が歩いている若者を追いかけている	若者が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2951	子供が歌を歌っているサーファーを押した	サーファーが歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2952	老人が歩いている子供を追いかけている	子供が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2953	若者が泳いでいる女の子をにらんでいる	女の子が泳いでいる	entailment	overlap-nonorder	2	gp-normal	train
2954	女性が横たわっている学生を蹴った	学生が横たわっている	entailment	overlap-nonorder	2	gp-normal	train
2955	男性が泳いでいるライダーを追いかけている	ライダーが泳いでいる	entailment	overlap-nonorder	2	gp-normal	train
2956	男性が眠っているテニス選手を見つめている	テニス選手が眠っている	entailment	overlap-nonorder	2	gp-normal	train
2957	子供が遊んでいる男の子をいじめている	男の子が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2958	学生が座っているスノーボーダーを見ている	スノーボーダーが座っている	entailment	overlap-nonorder	2	gp-normal	train
2959	老人が遊んでいる大人を指さしている	大人が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2960	若者が遊んでいる男性を追い回した	男性が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2961	カップルが座っている女性をたたいている	女性が座っている	entailment	overlap-nonorder	2	gp-normal	train
2962	会社員が泣いている男の子をにらんでいる	男の子が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2963	男性が眠っているホッケー選手を指さしている	ホッケー選手が眠っている	entailment	overlap-nonorder	2	gp-normal	train
2964	子供が立っているスノーボーダーをたたいている	スノーボーダーが立っている	entailment	overlap-nonorder	2	gp-normal	test
2965	ライダーが泳いでいる老人を見ている	老人が泳いでいる	entailment	overlap-nonorder	2	gp-normal	train
2966	ホッケー選手が笑っている女の子を追い払った	女の子が笑っている	entailment	overlap-nonorder	2	gp-normal	train
2967	スノーボーダーが泳いでいる男性を助けた	男性が泳いでいる	entailment	overlap-nonorder	2	gp-normal	train
2968	男の子が眠っている女性を追い回した	女性が眠っている	entailment	overlap-nonorder	2	gp-normal	train
2969	スノーボーダーが走っている男性を指さしている	男性が走っている	entailment	overlap-nonorder	2	gp-normal	train
2970	テニス選手が歩き回っているライダーを見ている	ライダーが歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
2971	カップルが遊んでいる大人を見ている	大人が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2972	会社員が泣いている男の子をにらんでいる	男の子が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2973	若者が遊んでいる男の子を見つめている	男の子が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2974	女性が歌を歌っているカップルをいじめている	カップルが歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2975	会社員が泣いている男性を見ている	男性が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2976	子供が泣いている女性をにらんでいる	女性が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2977	学生が座っている男性をいじめている	男性が座っている	entailment	overlap-nonorder	2	gp-normal	train
2978	会社員が遊んでいる女の子をいじめている	女の子が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2979	女の子が歌を歌っているホッケー選手を助けた	ホッケー選手が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2980	男性が歩いているテニス選手を指さしている	テニス選手が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2981	ホッケー選手が立っている老人を追い払った	老人が立っている	entailment	overlap-nonorder	2	gp-normal	train
2982	ライダーが泣いている女の子をにらんでいる	女の子が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2983	フットボール選手が歩いている学生を蹴った	学生が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2984	若者が歩いている男性をいじめている	男性が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2985	男の子が泳いでいる老人を追い払った	老人が泳いでいる	entailment	overlap-nonorder	2	gp-normal	train
2986	ライダーが立っている老人を指さしている	老人が立っている	entailment	overlap-nonorder	2	gp-normal	train
2987	会社員が歌を歌っているサーファーをいじめている	サーファーが歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2988	会社員が歌を歌っている子供を押した	子供が歌を歌っている	entailment	overlap-nonorder	2	gp-normal	train
2989	サーファーが歩いている女の子をたたいている	女の子が歩いている	entailment	overlap-nonorder	2	gp-normal	train
2990	女性が遊んでいる男性をいじめている	男性が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2991	女性が遊んでいる老人を追い払った	老人が遊んでいる	entailment	overlap-nonorder	2	gp-normal	train
2992	女性が泣いているホッケー選手を蹴った	ホッケー選手が泣いている	entailment	overlap-nonorder	2	gp-normal	train
2993	ホッケー選手が立っているサーファーを追い回した	サーファーが立っている	entailment	overlap-nonorder	2	gp-normal	train
2994	大人が立っている女性をいじめている	女性が立っている	entailment	overlap-nonorder	2	gp-normal	train
2995	子供が泣いているライダーをいじめている	ライダーが泣いている	entailment	overlap-nonorder	2	gp-normal	train
2996	大人が笑っているライダーを押した	ライダーが笑っている	entailment	overlap-nonorder	2	gp-normal	train
2997	スノーボーダーが笑っているサーファーをいじめている	サーファーが笑っている	entailment	overlap-nonorder	2	gp-normal	train
2998	会社員が歩き回っているライダーを指さしている	ライダーが歩き回っている	entailment	overlap-nonorder	2	gp-normal	test
2999	フットボール選手が歩き回っている学生を追い払った	学生が歩き回っている	entailment	overlap-nonorder	2	gp-normal	train
3000	ホッケー選手が笑っている男性を指さしている	ホッケー選手が男性を指さしている	entailment	overlap-order	2	gp-normal	train
3001	老人が泳いでいるカップルを押した	老人がカップルを押した	entailment	overlap-order	2	gp-normal	train
3002	学生が遊んでいる老人を助けた	学生が老人を助けた	entailment	overlap-order	2	gp-normal	train
3003	男の子が泣いているフットボール選手を助けた	男の子がフットボール選手を助けた	entailment	overlap-order	2	gp-normal	test
3004	サーファーが歌を歌っている若者を見ている	サーファーが若者を見ている	entailment	overlap-order	2	gp-normal	train
3005	サーファーが歌を歌っている若者を助けた	サーファーが若者を助けた	entailment	overlap-order	2	gp-normal	train
3006	女性が走っている老人を追い回した	女性が老人を追い回した	entailment	overlap-order	2	gp-normal	train
3007	サーファーが泳いでいる学生をにらんでいる	サーファーが学生をにらんでいる	entailment	overlap-order	2	gp-normal	train
3008	スノーボーダーが遊んでいる男性を追い払った	スノーボーダーが男性を追い払った	entailment	overlap-order	2	gp-normal	train
3009	会社員が泣いているテニス選手をたたいている	会社員がテニス選手をたたいている	entailment	overlap-order	2	gp-normal	train
3010	子供が笑っている女性をたたいている	子供が女性をたたいている	entailment	overlap-order	2	gp-normal	train
3011	男性が立っているスノーボーダーを押した	男性がスノーボーダーを押した	entailment	overlap-order	2	gp-normal	test
3012	若者が眠っているカップルを追いかけている	若者がカップルを追いかけている	entailment	overlap-order	2	gp-normal	train
3013	男性が立っている若者を見ている	男性が若者を見ている	entailment	overlap-order	2	gp-normal	train
3014	女性が泣いている会社員を追いかけている	女性が会社員を追いかけている	entailment	overlap-order	2	gp-normal	train
3015	スノーボーダーが立っている学生を追いかけている	スノーボーダーが学生を追いかけている	entailment	overlap-order	2	gp-normal	train
3016	子供が歌を歌っているスノーボーダーを押した	子供がスノーボーダーを押した	entailment	overlap-order	2	gp-normal	train
3017	会社員が眠っている女性を追い回した	会社員が女性を追い回した	entailment	overlap-order	2	gp-normal	train
3018	男の子が泣いている若者をにらんでいる	男の子が若者をにらんでいる	entailment	overlap-order	2	gp-normal	train
3019	大人が泣いている老人をたたいている	大人が老人をたたいている	entailment	overlap-order	2	gp-normal	train
3020	学生が座っている子供を蹴った	学生が子供を蹴った	entailment	overlap-order	2	gp-normal	train
3021	学生が歌を歌っているフットボール選手を指さしている	学生がフットボール選手を指さしている	entailment	overlap-order	2	gp-normal	train
3022	ホッケー選手が座っている若者を指さしている	ホッケー選手が若者を指さしている	entailment	overlap-order	2	gp-normal	train
3023	カップルが歩いている男の子を助けた	カップルが男の子を助けた	entailment	overlap-order	2	gp-normal	train
3024	男の子が歩いている子供を追い払った	男の子が子供を追い払った	entailment	overlap-order	2	gp-normal	train
3025	学生が泣いている男の子を押した	学生が男の子を押した	entailment	overlap-order	2	gp-normal	train
3026	老人が歩き回っている女の子を見ている	老人が女の子を見ている	entailment	overlap-order	2	gp-normal	train
3027	サーファーが横たわっているテニス選手をにらんでいる	サーファーがテニス選手をにらんでいる	entailment	overlap-order	2	gp-normal	train
3028	ライダーが遊んでいる男性を追い回した	ライダーが男性を追い回した	entailment	overlap-order	2	gp-normal	train
3029	フットボール選手が座っている老人を追いかけている	フットボール選手が老人を追いかけている	entailment	overlap-order	2	gp-normal	train
3030	ホッケー選手が遊んでいるライダーを押した	ホッケー選手がライダーを押した	entailment	overlap-order	2	gp-normal	train
3031	男の子が走っている子供を追い回した	男の子が子供を追い回した	entailment	overlap-order	2	gp-normal	train
3032	若者が泳いでいる学生を追いかけている	若者が学生を追いかけている	entailment	overlap-order	2	gp-normal	train
3033	会社員が眠っているフットボール選手を追い回した	会社員がフットボール選手を追い回した	entailment	overlap-order	2	gp-normal	train
3034	男の子が歌を歌っているホッケー選手を追い回した	男の子がホッケー選手を追い回した	entailment	overlap-order	2	gp-normal	train
3035	女性が横たわっているホッケー選手を蹴った	女性がホッケー選手を蹴った	entailment	overlap-order	2	gp-normal	train
3036	会社員が遊んでいる男性を追い払った	会社員が男性を追い払った	entailment	overlap-order	2	gp-normal	train
3037	ライダーが歌を歌っているカップルをにらんでいる	ライダーがカップルをにらんでいる	entailment	overlap-order	2	gp-normal	train
3038	ライダーが横たわっている男性を指さしている	ライダーが男性を指さしている	entailment	overlap-order	2	gp-normal	train
3039	女の子が眠っているサーファーを追い払った	女の子がサーファーを追い払った	entailment	overlap-order	2	gp-normal	train
3040	サーファーが歩いている老人を助けた	サーファーが老人を助けた	entailment	overlap-order	2	gp-normal	train
3041	会社員が横たわっているサーファーを見つめている	会社員がサーファーを見つめている	entailment	overlap-order	2	gp-normal	train
3042	女の子が座っている男の子を追い回した	女の子が男の子を追い回した	entailment	overlap-order	2	gp-normal	train
3043	ライダーが座っているサーファーを見ている	ライダーがサーファーを見ている	entailment	overlap-order	2	gp-normal	train
3044	男の子が座っている女性を指さしている	男の子が女性を指さしている	entailment	overlap-order	2	gp-normal	train
3045	フットボール選手が泳いでいる会社員を蹴った	フットボール選手が会社員を蹴った	entailment	overlap-order	2	gp-normal	train
3046	男性が座っている会社員をにらんでいる	男性が会社員をにらんでいる	entailment	overlap-order	2	gp-normal	train
3047	テニス選手が横たわっているフットボール選手を見つめている	テニス選手がフットボール選手を見つめている	entailment	overlap-order	2	gp-normal	train
3048	カップルが泳いでいるスノーボーダーを追い回した	カップルがスノーボーダーを追い回した	entailment	overlap-order	2	gp-normal	train
3049	ホッケー選手が遊んでいるライダーを追いかけている	ホッケー選手がライダーを追いかけている	entailment	overlap-order	2	gp-normal	train
3050	スノーボーダーが走っているテニス選手を追い回した	スノーボーダーがテニス選手を追い回した	entailment	overlap-order	2	gp-normal	train
3051	子供が遊んでいるライダーを見つめている	子供がライダーを見つめている	entailment	overlap-order	2	gp-normal	train
3052	カップルが泳いでいる会社員を見ている	カップルが会社員を見ている	entailment	overlap-order	2	gp-normal	train
3053	女性が歩き回っている大人をいじめている	女性が大人をいじめている	entailment	overlap-order	2	gp-normal	train
3054	子供が遊んでいるフットボール選手を見つめている	子供がフットボール選手を見つめている	entailment	overlap-order	2	gp-normal	train
3055	フットボール選手が泳いでいるスノーボーダーをいじめている	フットボール選手がスノーボーダーをいじめている	entailment	overlap-order	2	gp-normal	train
3056	大人が横たわっている学生を押した	大人が学生を押した	entailment	overlap-order	2	gp-normal	test
3057	女性が泣いている会社員を追い払った	女性が会社員を追い払った	entailment	overlap-order	2	gp-normal	train
3058	カップルが歌を歌っているスノーボーダーを助けた	カップルがスノーボーダーを助けた	entailment	overlap-order	2	gp-normal	train
3059	ホッケー選手が歌を歌っているサーファーを蹴った	ホッケー選手がサーファーを蹴った	entailment	overlap-order	2	gp-normal	train
3060	テニス選手が横たわっている男の子をたたいている	テニス選手が男の子をたたいている	entailment	overlap-order	2	gp-normal	train
3061	ライダーが走っているサーファーをいじめている	ライダーがサーファーをいじめている	entailment	overlap-order	2	gp-normal	train
3062	サーファーが眠っているホッケー選手を助けた	サーファーがホッケー選手を助けた	entailment	overlap-order	2	gp-normal	train
3063	老人が笑っているホッケー選手を追い払った	老人がホッケー選手を追い払った	entailment	overlap-order	2	gp-normal	train
3064	若者が泣いている子供を助けた	若者が子供を助けた	entailment	overlap-order	2	gp-normal	train
3065	サーファーが走っているスノーボーダーを追い払った	サーファーがスノーボーダーを追い払った	entailment	overlap-order	2	gp-normal	train
3066	若者が走っている男の子をいじめている	若者が男の子をいじめている	entailment	overlap-order	2	gp-normal	train
3067	カップルが笑っている学生を見ている	カップルが学生を見ている	entailment	overlap-order	2	gp-normal	train
3068	老人が走っている男性を見つめている	老人が男性を見つめている	entailment	overlap-order	2	gp-normal	train
3069	ホッケー選手が眠っているサーファーを蹴った	ホッケー選手がサーファーを蹴った	entailment	overlap-order	2	gp-normal	train
3070	男性が泳いでいるホッケー選手を見つめている	男性がホッケー選手を見つめている	entailment	overlap-order	2	gp-normal	train
3071	ホッケー選手が走っている会社員を追い払った	ホッケー選手が会社員を追い払った	entailment	overlap-order	2	gp-normal	train
3072	子供が泳いでいるテニス選手を見ている	子供がテニス選手を見ている	entailment	overlap-order	2	gp-normal	train
3073	ホッケー選手が泳いでいる会社員を指さしている	ホッケー選手が会社員を指さしている	entailment	overlap-order	2	gp-normal	train
3074	テニス選手が横たわっているカップルを助けた	テニス選手がカップルを助けた	entailment	overlap-order	2	gp-normal	train
3075	カップルが横たわっている大人をにらんでいる	カップルが大人をにらんでいる	entailment	overlap-order	2	gp-normal	train
3076	大人が立っている女性を押した	大人が女性を押した	entailment	overlap-order	2	gp-normal	test
3077	女性が歩き回っている会社員を見つめている	女性が会社員を見つめている	entailment	overlap-order	2	gp-normal	train
3078	ホッケー選手が泳いでいる老人を見つめている	ホッケー選手が老人を見つめている	entailment	overlap-order	2	gp-normal	train
3079	子供が遊んでいる若者を見つめている	子供が若者を見つめている	entailment	overlap-order	2	gp-normal	train
3080	会社員が横たわっている若者を追い払った	会社員が若者を追い払った	entailment	overlap-order	2	gp-normal	train
3081	男の子が歩いている大人を指さしている	男の子が大人を指さしている	entailment	overlap-order	2	gp-normal	train
3082	男の子が横たわっている子供を押した	男の子が子供を押した	entailment	overlap-order	2	gp-normal	train
3083	テニス選手が座っている子供をいじめている	テニス選手が子供をいじめている	entailment	overlap-order	2	gp-normal	train
3084	テニス選手が遊んでいる学生を助けた	テニス選手が学生を助けた	entailment	overlap-order	2	gp-normal	train
3085	カップルが笑っている女性を指さしている	カップルが女性を指さしている	entailment	overlap-order	2	gp-normal	train
3086	フットボール選手が座っている女の子を追い払った	フットボール選手が女の子を追い払った	entailment	overlap-order	2	gp-normal	train
3087	ライダーが眠っているサーファーを見つめている	ライダーがサーファーを見つめている	entailment	overlap-order	2	gp-normal	train
3088	会社員が座っているテニス選手を追い払った	会社員がテニス選手を追い払った	entailment	overlap-order	2	gp-normal	train
3089	大人が歩き回っているカップルを指さしている	大人がカップルを指さしている	entailment	overlap-order	2	gp-normal	train
3090	学生が横たわっている男性を指さしている	学生が男性を指さしている	entailment	overlap-order	2	gp-normal	train
3091	男性が横たわっている男の子を蹴った	男性が男の子を蹴った	entailment	overlap-order	2	gp-normal	test
3092	老人が遊んでいるテニス選手を見ている	老人がテニス選手を見ている	entailment	overlap-order	2	gp-normal	train
3093	女性が笑っている学生を追い払った	女性が学生を追い払った	entailment	overlap-order	2	gp-normal	train
3094	子供が立っている学生を追い払った	子供が学生を追い払った	entailment	overlap-order	2	gp-normal	train
3095	学生が泳いでいる男性をにらんでいる	学生が男性をにらんでいる	entailment	overlap-order	2	gp-normal	train
3096	若者が立っているサーファーを見つめている	若者がサーファーを見つめている	entailment	overlap-order	2	gp-normal	train
3097	カップルが走っているライダーを追い払った	カップルがライダーを追い払った	entailment	overlap-order	2	gp-normal	train
3098	学生が横たわっている子供を追い払った	学生が子供を追い払った	entailment	overlap-order	2	gp-normal	train
3099	子供が笑っている女の子を追いかけている	子供が女の子を追いかけている	entailment	overlap-order	2	gp-normal	train
3100	サーファーが立っているテニス選手を助けた	サーファーをテニス選手が助けた	non-entailment	overlap-nonorder	2	gp-normal	test
3101	カップルが歌を歌っている老人を追い払った	カップルを老人が追い払った	non-entailment	overlap-nonorder	2	gp-normal	train
3102	若者が歩き回っている男の子をにらんでいる	若者を男の子がにらんでいる	non-entailment	overlap-nonorder	2	gp-normal	train
